DealNumber;DealStatus;AcquirerName;Symbol;RumorDate;WithdrawalDate;Index
1909021072;Withdrawn;ASIASONS CAPITAL LTD;5ET.SI;2013-09-17;2013-12-12;^STI
1909059193;Withdrawn;TIGER BRANDS LTD;UG5A.F;2014-01-09;2014-03-25;^GSPC
1909065033;Withdrawn;GEMS TV HOLDINGS LTD;GTVHF;2013-11-01;2014-02-28;^STI
1909072859;Withdrawn;SHANGHAI FOSUN PHARMACEUTICAL (GROUP) CO. LTD;600196.SS;2014-02-17;2014-04-21;^SSEC
1909109323;Withdrawn;RESONANCE HEALTH LTD;RHT.AX;2014-06-03;2014-07-11;^AXJO
1909116451;Withdrawn;ABBVIE INC.;ABBV;2014-07-18;2014-10-20;^NY
1909118603;Withdrawn;QLT INC.;QLT.TO;2014-06-26;2014-10-09;^IXIC
1909119812;Withdrawn;AFRICAN CONSOLIDATED RESOURCES PLC;VAST.L;2014-06-16;2014-09-30;^FTSE
1909125891;Withdrawn;CANARC RESOURCE CORPORATION;CCM.TO;2014-07-15;2014-10-16;^GSPTSE
1909156927;Withdrawn;GRANA Y MONTERO SAA;GRAM;2014-10-16;2014-11-17;^NY
1909198297;Withdrawn;TELECITY GROUP PLC;TCY.L;2015-03-09;2015-05-29;^FTSE
1909199865;Withdrawn;DEUTSCHE WOHNEN AG;DWNI.F;2015-03-18;2015-04-15;^MDAXI
1909199889;Withdrawn;DEUTSCHE WOHNEN AG;DWNI.F;2015-03-18;2015-04-15;^MDAXI
576095;Rumour - Withdrawn;AKVA GROUP ASA;AKVA.OL;2007-09-20;2007-12-17;^STOXX50E
629803;Rumour - Withdrawn;FORNIX BIOSCIENCES NV;SNOW.AS;2008-03-31;2008-07-30;^STOXX50E
640505;Rumour - Withdrawn;EMERSON ELECTRIC COMPANY;EMR;2008-03-18;2008-06-04;^NY
647873;Rumour - Withdrawn;SOLAR THIN FILMS INC.;SLTZ;2008-06-05;2009-04-08;^GSPC
1000008403;Rumour - Withdrawn;TDK CORPORATION;TDK.F;2007-08-29;2007-11-15;^N225
1601014480;Rumour - Withdrawn;SAMSUNG ELECTRONICS CO. LTD;005930.KS;2008-09-05;2008-10-21;^KS11
1601029529;Rumour - Withdrawn;WR BERKLEY CORPORATION;WRB;2008-11-11;2008-12-23;^NY
1601065888;Rumour - Withdrawn;ROYAL BANK of SCOTLAND GROUP PLC THE;RBS.L;2009-04-01;2009-06-30;^FTSE
1601090972;Rumour - Withdrawn;PRYSMIAN SPA;PRY.MI;2009-06-29;2009-09-10;FTSEMIB.MI
1601092336;Rumour - Withdrawn;CHAIRMAN CAPITAL CORPORATION;LGO.AX;2009-07-02;2009-10-30;^JKSE
1601115190;Rumour - Withdrawn;DAYSTAR TECHNOLOGIES INC.;DSTI;2009-09-21;2009-10-21;^GSPC
1601188928;Rumour - Withdrawn;BANK of CYPRUS PUBLIC COMPANY LTD;BOC.AT;2010-05-17;2010-06-16;^STOXX50E
1601193014;Rumour - Withdrawn;RESERVOIR CAPITAL CORPORATION;REO.V;2010-03-24;2010-05-27;^GSPTSE
1601201690;Rumour - Withdrawn;CAPE RANGE LTD;CAG.AX;2010-07-06;2011-01-19;^AXJO
1601202079;Rumour - Withdrawn;HSBC HOLDINGS PLC;HSBC;2010-07-08;2010-10-15;^FTSE
1601222957;Rumour - Withdrawn;BEAZLEY PLC;BEZ.L;2010-10-06;2010-12-14;^JKSE
1601223784;Rumour - Withdrawn;SENNEN RESOURCES LTD;SN.V;2010-04-30;2010-05-27;^GSPTSE
1601230354;Rumour - Withdrawn;SIMON PROPERTY GROUP INC.;SPG;2010-11-25;2011-01-11;^NY
1601234732;Rumour - Withdrawn;LADBROKES PLC;LAD.L;2010-12-20;2011-04-15;^FTSE
1601255189;Rumour - Withdrawn;GRUPO ELEKTRA SA DE CV;ELEKTRA.MX;2010-12-02;2011-02-01;BOLSAA.MX
1601256182;Rumour - Withdrawn;GEM DIAMONDS LTD;GEMD.L;2011-03-21;2011-05-04;^FTSE
1601262884;Rumour - Withdrawn;CENCOSUD SA;CENCOSUD.SN;2011-04-13;2011-06-21;^IPSA
1601263627;Rumour - Withdrawn;NIKOS EXPLORATIONS LTD;NIK.V;2011-03-23;2011-04-18;^GSPTSE
1601271955;Rumour - Withdrawn;AIR PRODUCTS AND CHEMICALS INC.;APD;2011-05-19;2011-08-13;^NY
1601307431;Rumour - Withdrawn;DELTA GALIL INDUSTRIES LTD;DELT.TA;2011-10-10;2012-01-09;TA-100
1601325950;Rumour - Withdrawn;VALEANT PHARMACEUTICALS INTERNATIONAL INC.;VRX.TO;2011-12-16;2012-01-30;^NY
1601337613;Rumour - Withdrawn;LI3 ENERGY INC.;LIEG;2012-01-25;2012-04-24;^GSPC
1601343085;Rumour - Withdrawn;HANA FINANCIAL GROUP INC.;086790.KS;2012-02-10;2012-04-09;^KS11
1601343263;Rumour - Withdrawn;OPPORTUNITY INVESTMENT MANAGEMENT PLC;OIM.BR;2012-02-15;2012-04-10;^FTSE
1601353223;Rumour - Withdrawn;TOTAL SA;FP.PA;2012-03-19;2012-04-12;^FCHI
1601354130;Rumour - Withdrawn;NICOX SA;COX.PA;2012-03-21;2012-06-01;^SBF250
1601384844;Rumour - Withdrawn;AFI DEVELOPMENT PLC;AFRB.L;2012-04-10;2012-07-05;^FTSE
1601386023;Rumour - Withdrawn;WM MORRISON SUPERMARKETS PLC;MRW.L;2012-07-09;2012-10-17;^FTSE
1601389923;Rumour - Withdrawn;ECHELON CAPITAL CORPORATION;ELON;2008-12-01;2011-05-02;^GSPTSE
1601401226;Rumour - Withdrawn;INFOSYS LTD;INFY.NS;2012-09-10;2012-11-23;^BSESN
1601402261;Rumour - Withdrawn;EADS NV;AIR.PA;2012-09-12;2012-10-10;^FCHI
1601412669;Rumour - Withdrawn;FUJIFILM HOLDINGS CORPORATION;FJI.F;2012-10-17;2013-01-15;^N225
1601430923;Rumour - Withdrawn;ALSO ACTEBIS HOLDING AG;ALSN.SW;2012-12-17;2013-04-09;^FCHI
1601433243;Rumour - Withdrawn;PEARL ORIENTAL OIL LTD;0632.HK;2012-12-30;2013-02-07;^HSI
1601451272;Rumour - Withdrawn;NOVARTIS AG;NOT.DE;2013-03-01;2013-04-17;^FTSE
1601469378;Rumour - Withdrawn;COCA-COLA ENTERPRISES INC.;KO;2010-02-25;2013-04-25;^NY
1601469982;Rumour - Withdrawn;BYTE POWER GROUP LTD;BPG.AX;2013-04-30;2013-06-24;^AXJO
1633016738;Rumour - Withdrawn;TIANDE CHEMICAL HOLDINGS LTD;0609.HK;2010-12-12;2011-03-10;^HSI
1633020771;Rumour - Withdrawn;REGENT PACIFIC GROUP LTD;0575.HK;2011-01-21;2011-05-11;^HSI
1633038658;Rumour - Withdrawn;BIONICHE LIFE SCIENCES INC.;BJF.F;2011-07-05;2011-08-02;^GSPTSE
1633042417;Rumour - Withdrawn;CHINA CONSTRUCTION BANK CORPORATION;601939.SS;2011-08-11;2011-09-14;^SSEC
1633081350;Rumour - Withdrawn;CRH PLC;CRH.L;2012-06-15;2012-10-09;^FTSE
1633083934;Rumour - Withdrawn;SHUNFENG PHOTOVOLTAIC INTERNATIONAL LTD;1165.HK;2012-04-13;2012-06-29;^HSI
1633102017;Rumour - Withdrawn;CHAROEN POKPHAND FOODS PCL;CPF.BK;2012-10-24;2012-12-14;^GSPTSE
